Country;Province;Capital;Población;Superficie;Densidad;Código
Argentina;Buenos Aires;La Plata;15625084;307571;50,8;6
Argentina;Catamarca;San Fernando del Valle de Catamarca;367828;102602;3,6;10
Argentina;Chaco;Resistencia;1055259;99633;10,6;22
Argentina;Chubut;Rawson;509108;224686;2,3;26
Argentina;Córdoba;Córdoba;3308876;165321;20;14
Argentina;Corrientes;Corrientes;992595;88199;11,3;18
Argentina;Entre Ríos;Paraná;1235994;78781;15,7;30
Argentina;Formosa;Formosa;530162;72066;7,4;34
Argentina;Jujuy;San Salvador de Jujuy;673307;53219;12,7;38
Argentina;La Pampa;Santa Rosa;318951;143440;2,2;42
Argentina;La Rioja;La Rioja;333642;89680;3,7;46
Argentina;Mendoza;Mendoza;1738929;148827;11,7;50
Argentina;Misiones;Posadas;1101593;29801;37;54
Argentina;Neuquén;Neuquén;551266;94078;5,9;58
Argentina;Río Negro;Viedma;638645;203013;3,1;62
Argentina;Salta;Salta;1214441;155488;7,8;66
Argentina;San Juan;San Juan;681055;89651;7,6;70
Argentina;San Luis;San Luis;432310;76748;5,6;74
Argentina;Santa Cruz;Río Gallegos;273964;243943;1,1;78
Argentina;Santa Fe;Santa Fe;3194537;133007;24;82
Argentina;Santiago del Estero;Santiago del Estero;874006;136351;6,4;86
Argentina;Tierra del Fuego;Ushuaia;127205;1002445;0.1;94
Argentina;Tucumán;San Miguel de Tucumán;1448188;22524;64,3;90
